2021-02-23 16:56:16.211 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3340 ms
2021-02-23 16:56:16.766 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-02-23 16:56:17.054 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-02-23 16:56:17.337 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-02-23 16:56:17.357 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-02-23 16:56:17.595 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-02-23 16:56:19.894 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2021-02-23 16:56:20.064 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService
2021-02-23 16:56:21.548 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2021-02-23 16:56:23.041 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2021-02-23 16:56:23.313 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2021-02-23 16:56:23.346 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path ''
2021-02-23 16:56:26.984 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2021-02-23 16:56:26.987 [main] INFO  com.xiaosi.movieservice.MovieApplication - Started MovieApplication in 18.656 seconds (JVM running for 20.208)
2021-02-23 16:58:16.588 [http-nio-8001-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-02-23 16:58:16.589 [http-nio-8001-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-02-23 16:58:16.600 [http-nio-8001-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2021-02-23 17:03:32.895 [main] INFO  com.xiaosi.movieservice.MovieApplication - The following profiles are active: dev
2021-02-23 17:03:33.809 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-02-23 17:03:33.813 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
